Pro-Q 3	FabFilter	FX
Pro-R	FabFilter	FX
Pro-L 2	FabFilter	FX
Pro-C 2	FabFilter	FX
Pro-MB	FabFilter	FX
Pro-DS	FabFilter	FX
Pro-G	FabFilter	FX
Saturn 2	FabFilter	FX
Timeless 3	FabFilter	FX
PhasePlant	Kilohearts	Generator
Multipass	Kilohearts	FX
SnapHeap	Kilohearts	FX
Bitcrush	Kilohearts	FX
CarveEQ	Kilohearts	FX
Comb Filter	Kilohearts	FX
Compressor	Kilohearts	FX
Convolver	Kilohearts	FX
Disperser	Kilohearts	FX
Distortion	Kilohearts	FX
Dynamics	Kilohearts	FX
Ensemble	Kilohearts	FX
Faturator	Kilohearts	FX
Filter	Kilohearts	FX
Flanger	Kilohearts	FX
Formant Filter	Kilohearts	FX
Gate	Kilohearts	FX
Haas	Kilohearts	FX
Ladder Filter	Kilohearts	FX
Nonlinear Filter	Kilohearts	FX
Phase Distortion	Kilohearts	FX
Phaser	Kilohearts	FX
Pitch Shifter	Kilohearts	FX
Resonator	Kilohearts	FX
Reverb	Kilohearts	FX
Reverser	Kilohearts	FX
Ring Mod	Kilohearts	FX
Slice EQ	Kilohearts	FX
Tape Stop	Kilohearts	FX
Trance Gate	Kilohearts	FX
Transient Shaper	Kilohearts	FX
3-Band EQ	Kilohearts	FX
Chorus	Kilohearts	FX
Delay	Kilohearts	FX
Gain	Kilohearts	FX
Limiter	Kilohearts	FX
Stereo	Kilohearts	FX
ValhallaDelay	Valhalla DSP	FX
Valhalla VintageVerb	Valhalla DSP	FX
ValhallaRoom	Valhalla DSP	FX
ValhallaPlate	Valhalla DSP	FX
ValhallaShimmer	Valhalla DSP	FX
Valhalla UberMod	Valhalla DSP	FX
Valhalla SpaceModulator	Valhalla DSP	FX
Valhalla FreqEcho	Valhalla DSP	FX
Valhalla SuperMassive	Valhalla DSP	FX
Podolski	u-he	Generator
TAL-BassLine	TAL	Generator
Synth1	Daichi Laboratory	Generator
Dexed	Pascal Gauthier	Generator
VCV Rack	VCV Rack	Generator
TyrellN6	u-he	Generator
Zebralette	u-he	Generator
Papu	SocaLabs	Generator
MAutoPitch	Melda Production	FX
GSnap	GVST	FX
VOLOCO	VOLOCO	FX
Delay Lama	Singing Monk	Generator
BX_Rockrack V3 Player	Plugin Alliance	FX
Ample Guitar M Lite	Ample Sound	Generator
Ample Bass P Lite 2	Ample Sound	Generator
Keyzone Classic	Bitsonic Audio	Generator
LABS Piano	Spitfire Audio	Generator
TapeDelay	ConcreteFX	FX
TAL Reverb 4	TAL	FX
MConvolutionEZ	Melda Production	FX
OldSkoolVerb	Voxengo	FX
Fresh Air	Slate Digital	FX
MEqualizer	Melda Production	FX
PanCake II	CableGuys	FX
MFlanger	Melda Production	FX
MPhaser	Melda Production	FX
MRingModulator	Melda Production	FX
MFreqShifter	Melda Production	FX
MTremolo	Melda Production	FX
MVibrato	Melda Production	FX
TAL-Vocoder	TAL	FX
MComb	Melda Production	FX
MBandPass	Melda Production	FX
BX Cleansweep V2	Plugin Alliance	FX
Niveau Filter	Plugin Alliance	FX
MAutoPan	Melda Production	FX
SPAN	Voxengo	FX
Rough Rider 3	Audio Damage	FX
MCompressor	Melda Production	FX
OTT	XFER	FX
ADHD Leveling Tool	ADHD	FX
MSaturator	Melda Production	FX
MBitFun	Melda Production	FX
CamelCrusher	Camel Audio	FX
Delta Modulator	XFER	FX
8 Bit Shaper	XFER	FX
Glitch	dblue	FX
Bitter Sweet V3	Flux	FX
Temper	Creative Intent	FX
MWaveFolder	Melda Production	FX
GClip	GVST	FX
Loudness Meter II	Youlean	FX
Loudness Meter II Pro	Youlean	FX
Melodyne Essential	Celemony	FX
Ozone Imager II	iZotope	FX
Vocal Doubler	iZotope	FX
Vinyl	iZotope	FX
Ozone 9 Advanced	iZotope	FX
Saturation Knob	Softube	FX
TDR Molotok	Tokyo Dawn Records	FX
TDR NOVA	Tokyo Dawn Records	FX
TDR VOS SlickEQ	Tokyo Dawn Records	FX
TDR Kotelnikov	Tokyo Dawn Records	FX
VladG Limiter no.6	Tokyo Dawn Records	FX
Krush	Tritik	FX
Correlometer	Voxengo	FX
Sforzando	Plogue	Generator
Vital	Matt Tytel	Generator
LABS	Spitfire Audio	Generator
Serum	XFER	Generator
